Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
567955,B0030VJ8YU,A2CW96MG1IB65L,Lola,0,0,2,1307404800,I wish my toddler liked it,"I really wish my toddler liked this. It seems to be very high quality and it would provide more variety in his diet. Every so often he'll eat it, but it usually needs to be mixed with something else.  I think it tastes fine, but it wasn't a hit. I bought a case so I keep trying."
567956,B0030VJ8YU,A3P9MK4EKMA892,PeruMom,0,0,1,1306800000,Yuck!,"I (and my little guy) have loved almost all other happy baby products, but this was revolting.  On the up side, my dog loves it . . ."
567957,B0030VJ8YU,A3MJNJLRCJWO9V,JessicaH,0,0,2,1305331200,Smells like cat food,I wanted this for the omega 3's but my daughter wouldn't eat this.  It really smells and looks like cat food.
567958,B0030VJ8YU,A2MF0C4E7GYCI,"VW ""VW""",0,0,5,1305331200,My son loves this,"My son loves this food.  He is 16 months now and I still use them.  Not all the time, but often.  The reason is that his molars are coming in very quickly and he is in a lot of pain.  He won't eat much when he's in pain, but these are easy on his gums.  They are organic and a quick meal.  My son is strong and a very healthy weight.  I make sure he gets as much organic, wholesome food as possible.  Buying these subscribe and save is a great way to give him good food and still save money.  He loves the whole line."
567959,B0030VJ8YU,A2MF0C4E7GYCI,"VW ""VW""",0,0,5,1305331200,My son loves this,"My son loves this food.  He is 16 months now and I still use them.  Not all the time, but often.  The reason is that his molars are coming in very quickly and he is in a lot of pain.  He won't eat much when he's in pain, but these are easy on his gums.  They are organic and a quick meal.  My son is strong and a very healthy weight.  I make sure he gets as much organic, wholesome food as possible.  Buying these subscribe and save is a great way to give him good food and still save money.  He loves the whole line."
567960,B0030VJ8YU,A2ZXD6328TA3WY,Brit abroad - NJ,0,0,2,1305244800,Shop-rite price,"This is a really good product but not a great price.  Shop-rite's normal price is the same as the subscribe and save price.  They however have it on special offer so it is cheaper still, yet you don't have to buy 16 at once."
567961,B0030VJ8YU,A3LFOYGPCS5EOA,J. McElliott,0,0,4,1304380800,Happy Salmon Eating Baby,"I was worried about it before I served it to my 12 month old... but after a tentative first session (there is a pretty strong salmon smell, and he seems opposed to strong scents), he's since eaten this package w/o problem, and finishes it every time!  We're pretty pleased with this meal - great texture and I feel good that he's getting some salmon in his diet.  We had one instance of diarrhea after eating this for lunch, but since it only happened once, I'm not 100% sure that it was because of the salmon package, but definitely I keep an eye for now.  It might have been one bad package in the stack... so it's still probably advisable to not serve this if you're going to be away from home :)."
567962,B0030VJ8YU,A137UIJXQZ2KFQ,JamieMcD,0,0,3,1304294400,"Healthy, maybe. Smells/looks like cat food","I really like the Happy Baby ""Chick Chick"" pouches and thought this would be a great way to introduce seafood to our baby. However, the consistency is much different - much thicker than the chicken pouch, and the smell! Well you definitely know it's seafood! It reminds me much too much of cat food.<br /><br />All is not lost - our little guy would eat it, provided I dunked each bite in some pureed sweet potato or squash first. But, I don't think we'll be buying this flavor again."
567963,B0030VJ8YU,A3M5Q1AKBTBL85,"Monica ""MONICA""",0,0,3,1303948800,I wish my kid liked this,we tried some other organic baby foods lately and she loved them but unfortunately she hates HATES HATES this food.  She's never had such a reaction to any food before but actually cried and screamed at the first taste of this.  I guess it's just not for her.  We've given her other foods from happy baby and she's loved them but this one she will not eat.  Too bad I bought a huge package!
567964,B0030VJ8YU,A12WA0NDY18R6W,"Harrod Mom ""harrodk""",0,0,5,1303948800,Yummy organic baby food,This baby food is both convenient and healthy. it's great to not worry about what my son is eating and be able to grab this when I'm in a pinch!
567965,B0030VJ8YU,A3AUPMMX3Q6JD9,linda halim,0,0,5,1299628800,my picky baby loves this,my super picky baby loves this. it taste good.packaging are so convenient too. when she wont eat anything else i always resort to this.
567966,B0030VJ8YU,A4DTM6B4IBYQX,C.O.,0,0,5,1298851200,Texture and taste,"This is great baby food.  It has an interesting texture that our baby likes in her mouth, and she loves the taste.  I love that she gets protein that is more than puree, but not so thick she can choke."
567967,B0030VJ8YU,A1HW28P8ONVBH2,SM&A,1,2,1,1305676800,did not meet my expectations,"My baby and I both loved the stage 1 Happy Baby pouches that we tried, so I had high hopes for this as well. To my dismay, it smelled like cat food and was gritty. I expected there to be more morsels of food,  but this was just mush. My son took a few bites and refused to eat any more."
567968,B0030VJ8YU,A1N8YWKJVXVXKY,buymorenow,1,2,5,1300752000,Natural fish oil for your baby. Stinky!,I have to give it to the makers of this line of organic baby food. This stuff is obviously high quality. It smells very fishy even though salmon is not one of the first listed ingredients. Again I was surprised but my little guy wolfed it down repeatedly. I was happy to find an organic fish food for my baby. Thumbs up.
567969,B0030VJ8YU,A1G0U51YRASVP5,Shannon Eisel,1,2,3,1298246400,Not so hot,"My baby loves Happy Baby's Chick Chick meal, so we tried the salmon. It is the first food that my 11 month old has ever spit back at me. I tried to feed him this four different days to see if he would get used to it, or change his mind. No luck. It's too bad that you can only purchase them in lots of 16.... lots of leftover salmon here."
567970,B0030VJ8YU,A2RD22RNVOKNJB,christina,0,1,5,1332806400,Good,"My baby like this very much.I think the salmon is delicious,the salmon is good food,it can make my baby happy."
567971,B0030VJ8YU,A90I4J49NU3XN,Amy W,0,1,3,1317772800,"My 18 month old liked it, my 3 year old did not.","My pediatrician suggested increasing my 3 year old's protein, and try upping the fish. I saw these online and saw they have a ton of protien, and were salmon.<br />They arrived in the mail right away, and my 3 year old is not a big fan. She loves the Plumb brand fruit and veggie pouches and likes to suck them straight from the pouch. It is not very easy to suck it straight out of these pouches. I have been able to cut a small spot on the corner to make it work, but putting it in a bowl and using a spoon made it loose much of the thrill.<br />My 18 month old likes them, but I'm not sure I'll get my older one on the band wagon."
567972,B0030VJ8YU,A2KH0LR5G24O1Y,Jen,0,1,4,1315353600,Not bad!,"Okay, it does smell kind of like cat food. But it is packaged fish, which I think is what cat food is, so I guess that's not a huge surprise. My daughter really likes it, and I like that it's good for her, so overall we give this our seal of approval."
567973,B0030VJ8YU,A2GV478E8T0QGN,LadyK,0,1,1,1313020800,I'd rather make this combination myself,"I believe the concept and the intended combination of ingredients is nutritious and may be delicious BUT not in this little package.  My 11 month old daughter took one bite and literally spit it out.  I tasted it and it was so lacking flavor.  I'll be making this combination for her on my own in our Beaba BabyCook.  The other fruit and veggie combinations are great, but this offering missed the mark completely."
567974,B0030VJ8YU,ANDG3FQ7BNTUR,ta-da,0,1,1,1306108800,def more like cat food - baby did not like at all,"I don't see how there can be good quality salmon in this or lentils.....it is mostly potato and pollack (substitute cheap fish) --- this is really terrible for organic baby food - ugh, if i only had a cat to feed it to...."
567975,B0030VJ8YU,A2BT4NQWOUS5C0,sandybeaches,0,1,5,1283299200,Easy and tasty,"These pouches are the next best to homemade.  When I don't have time to steam and blend my own baby food, I always reach for happy baby!"
567976,B0030VJ8YU,A2IRI9FQ3Y2THO,MomHaydee,1,3,1,1315267200,Smells and looks like cat food,"I purchased two boxes of this because previously I had purchased Happy Baby Chick Chick and my daughter loved it.  When I opened this pouch up I couldn't believe the smell and texture of the ""food"".  It smells just like cat food because it's fish.  And the texture is just like canned cat food.  I have two boxes of this that I can't use because my daughter gags as soon as I bring the spoon up to her mouth.  I don't blame her, I'm gagging as soon as I tear the package open.  The nutritional facts are outstanding but they need to make it taste and look better.  The Happy Baby Chick Chick is an actual hearty puree with pieces of chicken and pasta.  This is not even close."
